Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Cooper Kupp*+,LAR,28,WR,17,17,191,145,75.90%,1947,13.4,16,89,59,10.2,8.5,114.5,0
2,Davante Adams*+,GNB,29,WR,16,16,169,123,72.80%,1553,12.6,11,84,59,9.2,7.7,97.1,0
3,Tyreek Hill*,KAN,27,WR,17,16,159,111,69.80%,1239,11.2,9,75,75,7.8,6.5,72.9,2
4,Justin Jefferson*,MIN,22,WR,17,17,167,108,64.70%,1616,15,10,75,56,9.7,6.4,95.1,1
5,Mark Andrews*+,BAL,26,te,17,9,153,107,69.90%,1361,12.7,9,75,43,8.9,6.3,80.1,1
6,Diontae Johnson*,PIT,25,WR,16,14,169,107,63.30%,1161,10.9,8,59,50,6.9,6.7,72.6,2
7,Keenan Allen*,LAC,29,WR,16,16,157,106,67.50%,1138,10.7,6,66,42,7.2,6.6,71.1,1
8,Jaylen Waddle,MIA,23,WR,16,16,140,104,74.30%,1015,9.8,6,59,57,7.3,6.5,63.4,2
9,Stefon Diggs*,BUF,28,WR,17,17,164,103,62.80%,1225,11.9,10,66,61,7.5,6.1,72.1,1
10,Hunter Renfrow*,LVR,26,wr,17,9,128,103,80.50%,1038,10.1,9,51,54,8.1,6.1,61.1,5
11,Chris Godwin,TAM,25,WR,14,14,127,98,77.20%,1103,11.3,5,55,44,8.7,7,78.8,2
12,D.J. Moore,CAR,24,WR,17,17,163,93,57.10%,1157,12.4,4,60,64,7.1,5.5,68.1,1
13,Travis Kelce*,KAN,32,TE,16,16,134,92,68.70%,1125,12.2,9,63,69,8.4,5.8,70.3,1
14,Marquise Brown,BAL,24,WR,16,16,146,91,62.30%,1008,11.1,6,41,49,6.9,5.7,63,3
15,Brandin Cooks,HOU,28,WR,16,16,134,90,67.20%,1037,11.5,6,45,52,7.7,5.6,64.8,0
16,Amon-Ra St. Brown,DET,22,wr,17,9,119,90,75.60%,912,10.1,5,48,37,7.7,5.3,53.6,0
17,Michael Pittman Jr.,IND,24,WR,17,17,129,88,68.20%,1082,12.3,6,54,57,8.4,5.2,63.6,1
18,Jakobi Meyers,NWE,25,WR,17,16,126,83,65.90%,866,10.4,2,42,39,6.9,4.9,50.9,1
19,Cole Beasley,BUF,32,wr,16,8,112,82,73.20%,693,8.5,1,34,29,6.2,5.1,43.3,1
20,Ja'Marr Chase*,CIN,21,WR,17,17,128,81,63.30%,1455,18,13,56,82,11.4,4.8,85.6,2
